"id","created_at","text"
1015610000000000000,"07/07/2018 14:54","Me entreviste con Enrique Graue Wiechers, rector de la Universidad Nacional Autonoma de Mexico, nuestra alma mater. https://t.co/nyFTqDijRY"
1015410000000000000,"07/07/2018 01:57","Por la mannana nos reunimos con los  integrantes del proximo Gabinete de Politica Interna, Exterior y Seguridad; por https://t.co/fQSFIX6Wwr"
1014590000000000000,"04/07/2018 19:06","En un ambiente de confianza mutua  y de unidad para impulsar el desarrollo de Mexico, sostuvimos una autentica reun https://t.co/rxTypK9qy2"
1014260000000000000,"03/07/2018 21:14","Me reuni con el ingeniero Cuauhtemoc Cardenas Solorzano, precursor, junto con otros dirigentes respetables vivos y https://t.co/EWF8YWAh0R"
1013850000000000000,"02/07/2018 18:29","Recibi llamada de Donald Trump y conversamos durante media hora. Le propuse explorar un acuerdo integral; de proyec https://t.co/6tePDAgOdS"
1013680000000000000,"02/07/2018 07:19","Primer mensaje 01 de julio 2018 #AndresManuelPresidente https://t.co/ji9E9Mfae2"
1013670000000000000,"02/07/2018 06:22","Mensaje desde el Zocalo de la Ciudad de Mexico #AndresManuelPresidente https://t.co/6hR241RJBL"
1013660000000000000,"02/07/2018 05:36","No les voy a fallar https://t.co/ABtjyauaoR"
1013640000000000000,"02/07/2018 04:16","Mensaje en vivo #AndresManuelPresidente \n\nhttps://t.co/fZixbdrWLA"
1012110000000000000,"27/06/2018 23:08","Acompannanos en vivo desde el Estadio Azteca. \n\nJuntos haremos historia \n\n#AMLOFest\n\nhttps://t.co/07FCWuD6SL"
1012080000000000000,"27/06/2018 21:05","Cerramos campanna en mi tierra, en mi agua. Estuvimos en Tuxtla y y Villahermosa. Estan mis paisanos, como todos los https://t.co/QmAfi9sjyV"
1011990000000000000,"27/06/2018 14:55","Les invito al Estadio Azteca al cierre de campanna. Empezara el festival desde las 5 de la tarde. Alla nos vemos. https://t.co/QNLKuGHAYJ"
1011830000000000000,"27/06/2018 04:26","Tambien vamos a ganar la peninsula de Yucatan. Hoy fue la locura en Cancun, Merida y Campeche. Mannana Tuxtla, Villa https://t.co/4BTF8QWLJz"
1011720000000000000,"26/06/2018 21:20","La serie del populismo en contra nuestra sera exhibida por Amazon. Costo 100 millones de pesos y daban 100 mas para https://t.co/FzUX83sEw0"
1011470000000000000,"26/06/2018 04:36","Lamento el asesinato de Emigdio Lopez Avendanno, candidato a diputado local en Ejutla, Oax. Asi como el de Saul Vasq https://t.co/FsWBzPUkId"
1011440000000000000,"26/06/2018 02:31","Es necesario reorientar la politica economica para producir en Mexico, hasta donde sea posible, lo que consumimos y https://t.co/tYVdRko1DA"
1011330000000000000,"25/06/2018 19:43","Estamos arriba con 25-30%, no hay que confiarse. La mafia del poder existe y los jefes estan desesperados. Es indis https://t.co/EDSRMtX2Gy"
1011100000000000000,"25/06/2018 04:30","Cerramos campanna en Guanajuato y Jalisco, acompannamos a nuestros candidatos a gobernador, Ricardo Sheffield y Carlo https://t.co/DAquMRjMSt"
1011010000000000000,"24/06/2018 22:02","Estan muy activos Salinas y Fernandez de Cevallos. Buscan desesperados la unidad del PRIAN; alientan la guerra suci https://t.co/uXe4DURWOZ"
1010980000000000000,"24/06/2018 20:18","Ante rumores infundados y perversos envie, desde San Luis Potosi, un mensaje a marinos y soldados de Mexico. https://t.co/jaCnQpeOru"
1010900000000000000,"24/06/2018 14:57","Estamos desayunando en el Cafe Pacifico, de San Luis Potosi, posiblemente las ultimas gorditas de la campanna. Par https://t.co/v5v1eqtTPK"
1010720000000000000,"24/06/2018 02:54","Cerramos con nuestros candidatos de Veracruz y Puebla, Cuitlahuac Garcia y Miguel Barbosa. Enfrentamos la corrupcio https://t.co/capiatbOgV"
