id,created_at,text
1.02047E+18,21/07/2018 00:55,b'Un mensaje sobre la multa injusta e ilegal a MORENA por parte del INE\n\nhttps://t.co/M7P1EuVAmy'
1.01999E+18,19/07/2018 17:10,b'La multa impuesta por INE a Morena por 197 mdp es una vil venganza. No existe ning\xc3\xban acto inmoral con el fideicomis\xe2\x80\xa6 https://t.co/CI8NZU6AnN'
1.0196E+18,18/07/2018 15:21,"b'Efem\xc3\xa9rides de gigantes: hoy se cumplen 146 a\xc3\xb1os de la muerte de Benito Ju\xc3\xa1rez, y es el centenario del nacimiento de\xe2\x80\xa6 https://t.co/8KMRAvBTLW'"
1.01861E+18,15/07/2018 21:42,b'En conferencia de prensa dimos a conocer los lineamientos generales para el combate a la corrupci\xc3\xb3n y la aplicaci\xc3\xb3n\xe2\x80\xa6 https://t.co/FeXk84Wb6H'
1.01787E+18,13/07/2018 20:34,"b'Recibimos a la comisi\xc3\xb3n que envi\xc3\xb3 el presidente Donald Trump integrada por Mike Pompeo, secretario de Estado; Steve\xe2\x80\xa6 https://t.co/gRByDWGqfF'"
1.01764E+18,13/07/2018 05:27,b'Conferencia de prensa despu\xc3\xa9s de la reuni\xc3\xb3n con integrantes de la Conferencia Nacional de Gobernadores\xe2\x80\xa6 https://t.co/kDDkxbTyfW'
1.01762E+18,13/07/2018 03:57,b'Conferencia de prensa despu\xc3\xa9s de la reuni\xc3\xb3n con integrantes de la Conferencia Nacional de Gobernadores https://t.co/urTikFeHjX'
1.01722E+18,12/07/2018 01:22,"b'Platiqu\xc3\xa9 con Elenita Poniatowska y me reun\xc3\xad con diputados federales, senadores, gobernadores, presidentes municipal\xe2\x80\xa6 https://t.co/62vqkZONpY'"
1.01683E+18,10/07/2018 23:37,b'Hoy informamos sobre el encuentro que llevaremos a cabo el viernes con la delegaci\xc3\xb3n del gobierno estadounidense qu\xe2\x80\xa6 https://t.co/VwQcqnIzzG'
1.01646E+18,09/07/2018 23:31,b'Hoy celebramos 4 a\xc3\xb1os del registro de MORENA como partido pol\xc3\xadtico. Dejo a cada quien que haga sus propias reflexio\xe2\x80\xa6 https://t.co/Om1yrI0dn8'
1.01561E+18,07/07/2018 14:54,"b'Me entrevist\xc3\xa9 con Enrique Graue Wiechers, rector de la Universidad Nacional Aut\xc3\xb3noma de M\xc3\xa9xico, nuestra alma m\xc3\xa1ter. https://t.co/nyFTqDijRY'"
1.01541E+18,07/07/2018 01:57,"b'Por la ma\xc3\xb1ana nos reunimos con los  integrantes del pr\xc3\xb3ximo Gabinete de Pol\xc3\xadtica Interna, Exterior y Seguridad; por\xe2\x80\xa6 https://t.co/fQSFIX6Wwr'"
1.01459E+18,04/07/2018 19:06,"b'En un ambiente de confianza mutua  y de unidad para impulsar el desarrollo de M\xc3\xa9xico, sostuvimos una aut\xc3\xa9ntica reun\xe2\x80\xa6 https://t.co/rxTypK9qy2'"
1.01426E+18,03/07/2018 21:14,"b'Me reun\xc3\xad con el ingeniero Cuauht\xc3\xa9moc C\xc3\xa1rdenas Sol\xc3\xb3rzano, precursor, junto con otros dirigentes respetables vivos y\xe2\x80\xa6 https://t.co/EWF8YWAh0R'"
1.01385E+18,02/07/2018 18:29,b'Recib\xc3\xad llamada de Donald Trump y conversamos durante media hora. Le propuse explorar un acuerdo integral; de proyec\xe2\x80\xa6 https://t.co/6tePDAgOdS'
1.01368E+18,02/07/2018 07:19,b'Primer mensaje 01 de julio 2018 #Andr\xc3\xa9sManuelPresidente https://t.co/ji9E9Mfae2'
1.01367E+18,02/07/2018 06:22,b'Mensaje desde el Z\xc3\xb3calo de la Ciudad de M\xc3\xa9xico #Andr\xc3\xa9sManuelPresidente https://t.co/6hR241RJBL'
1.01366E+18,02/07/2018 05:36,b'No les voy a fallar https://t.co/ABtjyauaoR'
1.01364E+18,02/07/2018 04:16,b'Mensaje en vivo #Andr\xc3\xa9sManuelPresidente \n\nhttps://t.co/fZixbdrWLA'
1.01211E+18,27/06/2018 23:08,b'Acomp\xc3\xa1\xc3\xb1anos en vivo desde el Estadio Azteca. \n\nJuntos haremos historia \n\n#AMLOFest\n\nhttps://t.co/07FCWuD6SL'
1.01208E+18,27/06/2018 21:05,"b'Cerramos campa\xc3\xb1a en mi tierra, en mi agua. Estuvimos en Tuxtla y y Villahermosa. Est\xc3\xa1n mis paisanos, como todos los\xe2\x80\xa6 https://t.co/QmAfi9sjyV'"
1.01199E+18,27/06/2018 14:55,b'Les invito al Estadio Azteca al cierre de campa\xc3\xb1a. Empezar\xc3\xa1 el festival desde las 5 de la tarde. All\xc3\xa1 nos vemos. https://t.co/QNLKuGHAYJ'
1.01183E+18,27/06/2018 04:26,"b'Tambi\xc3\xa9n vamos a ganar la pen\xc3\xadnsula de Yucat\xc3\xa1n. Hoy fue la locura en Canc\xc3\xban, M\xc3\xa9rida y Campeche. Ma\xc3\xb1ana Tuxtla, Villa\xe2\x80\xa6 https://t.co/4BTF8QWLJz'"
1.01172E+18,26/06/2018 21:20,b'La serie del populismo en contra nuestra ser\xc3\xa1 exhibida por Amazon. Cost\xc3\xb3 100 millones de pesos y daban 100 mas para\xe2\x80\xa6 https://t.co/FzUX83sEw0'
1.01147E+18,26/06/2018 04:36,"b'Lamento el asesinato de Emigdio L\xc3\xb3pez Avenda\xc3\xb1o, candidato a diputado local en Ejutla, Oax. As\xc3\xad como el de Sa\xc3\xbal V\xc3\xa1sq\xe2\x80\xa6 https://t.co/FsWBzPUkId'"
1.01144E+18,26/06/2018 02:31,"b'Es necesario reorientar la pol\xc3\xadtica econ\xc3\xb3mica para producir en M\xc3\xa9xico, hasta donde sea posible, lo que consumimos y\xe2\x80\xa6 https://t.co/tYVdRko1DA'"
1.01133E+18,25/06/2018 19:43,"b'Estamos arriba con 25-30%, no hay que confiarse. La mafia del poder existe y los jefes est\xc3\xa1n desesperados. Es indis\xe2\x80\xa6 https://t.co/EDSRMtX2Gy'"
1.0111E+18,25/06/2018 04:30,"b'Cerramos campa\xc3\xb1a en Guanajuato y Jalisco, acompa\xc3\xb1amos a nuestros candidatos a gobernador, Ricardo Sheffield y Carlo\xe2\x80\xa6 https://t.co/DAquMRjMSt'"
1.01101E+18,24/06/2018 22:02,b'Est\xc3\xa1n muy activos Salinas y Fern\xc3\xa1ndez de Cevallos. Buscan desesperados la unidad del PRIAN; alientan la guerra suci\xe2\x80\xa6 https://t.co/uXe4DURWOZ'
